MONTH,DAY_OF_MONTH,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,DEST,DEST_STATE_FIPS,DEST_STATE_NM,Var13_1,ORIGIN_FIPS,DES_FIPS,NUM_SEATS
1,11,2020-01-11,AA,N112AN,758,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,102
1,18,2020-01-18,AA,N117AN,758,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,102
1,25,2020-01-25,AA,N104NN,758,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,102
1,12,2020-01-12,AA,N956NN,801,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,160
1,19,2020-01-19,AA,N908NN,801,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,160
1,26,2020-01-26,AA,N912AN,801,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,160
1,6,2020-01-06,DL,N116DU,1333,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,109
1,6,2020-01-06,DL,N123DQ,1360,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,109
1,6,2020-01-06,DL,N362NB,1408,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,6,2020-01-06,DL,N339NB,2871,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,6,2020-01-06,DL,N895AT,2967,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,6,2020-01-06,DL,N126DU,2983,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,109
1,6,2020-01-06,DL,N362NB,3022,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,6,2020-01-06,DL,N933AT,3059,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,6,2020-01-06,DL,N360NB,3096,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,132
1,7,2020-01-07,DL,N121DU,725,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,109
1,7,2020-01-07,DL,N991AT,746,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,110
1,7,2020-01-07,DL,N339NB,928,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,7,2020-01-07,DL,N122DU,1333,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,109
1,7,2020-01-07,DL,N121DU,1360,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,109
1,7,2020-01-07,DL,N343NB,1408,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,7,2020-01-07,DL,N895AT,1593,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,110
1,16,2020-01-16,DL,N344NB,1408,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,16,2020-01-16,DL,N893AT,1593,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,110
1,16,2020-01-16,DL,N346NB,2871,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,16,2020-01-16,DL,N978AT,2967,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,16,2020-01-16,DL,N106DU,2983,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,109
1,16,2020-01-16,DL,N344NB,3022,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,16,2020-01-16,DL,N939AT,3059,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,17,2020-01-17,DL,N127DU,725,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,109
1,17,2020-01-17,DL,N926AT,746,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,110
1,17,2020-01-17,DL,N346NB,928,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,17,2020-01-17,DL,N119DU,1333,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,109
1,17,2020-01-17,DL,N127DU,1360,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,109
1,17,2020-01-17,DL,N341NB,1408,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,17,2020-01-17,DL,N978AT,1593,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,110
1,17,2020-01-17,DL,N344NB,2871,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,17,2020-01-17,DL,N987DN,2967,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,17,2020-01-17,DL,N120DU,2983,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,109
1,17,2020-01-17,DL,N341NB,3022,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,17,2020-01-17,DL,N926AT,3059,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,18,2020-01-18,DL,N344NB,928,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,18,2020-01-18,DL,N339NB,1408,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,18,2020-01-18,DL,N339NB,2871,JFK,36,New York,BOS,25,Massachusetts,,36081,25025,132
1,18,2020-01-18,DL,N339NB,3022,BOS,25,Massachusetts,JFK,36,New York,,25025,36081,132
1,19,2020-01-19,DL,N945AT,665,LGA,36,New York,BOS,25,Massachusetts,,36081,25025,110
1,19,2020-01-19,DL,N989DN,709,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,110
1,19,2020-01-19,DL,N951AT,733,BOS,25,Massachusetts,LGA,36,New York,,25025,36081,110
