From,From FIPS,To,To FIPS,Airline,Flight #,Equipment,Seats,,FIPS,https://www.nrcs.usda.gov/wps/portal/nrcs/detail/national/home/?cid=nrcs143_013697,
ALB,36001,EWR,34013,United,4915,ERJ-135/145,50,,ALB,36001,
ALB,36001,EWR,34013,United,4616,ERJ-135/145,50,,ART,36045,
ALB,36001,EWR,34013,United,4896,ERJ-135/145,50,,BGM,36007,
BUF,36029,JFK,36081,jetBlue,1001,ERJ-190,100,,BUF,36029,
BUF,36029,JFK,36081,jetBlue,2101,ERJ-190,100,,ELM,36015,
BUF,36029,JFK,36081,jetBlue,2001,ERJ-190,100,,FRG,36103,
BUF,36029,JFK,36081,jetBlue,1901,ERJ-190,100,,HPN,36119,
BUF,36029,JFK,36081,jetBlue,2601,ERJ-190,100,,IAG,36063,
BUF,36029,JFK,36081,Delta,5374,CRJ-900,76,,ISP,36103,
BUF,36029,JFK,36081,Delta,4673,CRJ-900,76,,ITH,36109,
BUF,36029,JFK,36081,Delta,5423,CRJ-900,76,,JFK,36081,
BUF,36029,JFK,36081,Delta,5415,CRJ-900,76,,LGA,36081,
BUF,36029,JFK,36081,Delta,5095,CRJ-900,76,,PBG,36019,
BUF,36029,LGA,36081,Delta,5326,CRJ-900,76,,ROC,36055,
BUF,36029,LGA,36081,Delta,5058,CRJ-900,76,,SWF,36071,
BUF,36029,LGA,36081,Delta,5167,CRJ-900,76,,SYR,36067,
BUF,36029,LGA,36081,Delta,5331,CRJ-900,76,,ACK,25019,
BUF,36029,BOS,25025,Delta,5623,ERJ-170,69,,BOS,25025,
BUF,36029,BOS,25025,Delta,5967,ERJ-170,69,,HYA,25001,
BUF,36029,BOS,25025,Delta,5661,ERJ-170,69,,MVY,25007,
BUF,36029,BOS,25025,jetBlue,2216,ERJ-190,100,,ORH,25027,
BUF,36029,BOS,25025,jetBlue,2016,ERJ-190,100,,PVC,25001,
BUF,36029,BOS,25025,jetBlue,1916,ERJ-190,100,,ACY,34001,
BUF,36029,EWR,34013,United,4968,ERJ-135/145,50,,EWR,34013,
BUF,36029,EWR,34013,United,4943,ERJ-135/145,50,,TTN,34021,
BUF,36029,EWR,34013,United,4885,ERJ-135/145,50,,BDL,9003,
BUF,36029,EWR,34013,United,4890,ERJ-135/145,50,,HVN,9009,
BUF,36029,EWR,34013,United,4899,ERJ-135/145,50,,BID,44009,
JFK,36081,BUF,36029,jetBlue,2802,ERJ-190,100,,PVD,44003,
JFK,36081,BUF,36029,jetBlue,702,ERJ-190,100,,WST,44009,
JFK,36081,BUF,36029,jetBlue,2402,ERJ-190,100,,,,
JFK,36081,BUF,36029,jetBlue,2002,ERJ-190,100,,Plane,Seats,
JFK,36081,BUF,36029,Delta,5431,CRJ-900,76,,CRJ-900,76,https://www.delta.com/content/www/en_US/traveling-with-us/airports-and-aircraft/Aircraft/canadair-crj-900.html
JFK,36081,BUF,36029,Delta,5423,CRJ-900,76,,ERJ-135/145,50,https://www.united.com/ual/en/us/fly/travel/inflight/aircraft/emb145.html
JFK,36081,BUF,36029,Delta,5415,CRJ-900,76,,ERJ-190,100,https://www.jetblue.com/flying-with-us/our-planes/E190-classic
JFK,36081,BUF,36029,Delta,5095,CRJ-900,76,,ERJ-170,69,https://www.delta.com/us/en/aircraft/embraer/erj-170
JFK,36081,BUF,36029,jetBlue,102,ERJ-190,100,,Canadair Reg. Jet,50,https://www.delta.com/content/www/en_US/traveling-with-us/airports-and-aircraft/Aircraft/canadair-crj-100-200.html
JFK,36081,BUF,36029,Delta,5338,CRJ-900,76,,Cessna (Light),9,https://www.capeair.com/about_us/cape-air-fleet.html
JFK,36081,ROC,36055,jetBlue,286,ERJ-190,100,,ERJ-140,44,https://www.aa.com/i18n/travel-info/experience/planes/planes.jsp
JFK,36081,ROC,36055,jetBlue,586,ERJ-190,100,,Boeing 717,110,https://www.delta.com/us/en/aircraft/boeing/717
JFK,36081,ROC,36055,jetBlue,486,CRJ-900,76,,A321,181,https://www.aa.com/i18n/travel-info/experience/planes/planes.jsp
JFK,36081,ROC,36055,Delta,4772,CRJ-900,76,,A319,128,https://www.aa.com/i18n/travel-info/experience/planes/planes.jsp
JFK,36081,ROC,36055,Delta,5275,CRJ-900,76,,Boeing 737,172,https://www.aa.com/i18n/travel-info/experience/planes/planes.jsp
JFK,36081,ROC,36055,Delta,4968,CRJ-900,76,,ERJ-175,76,https://www.aa.com/i18n/travel-info/experience/planes/planes.jsp
JFK,36081,SYR,36067,jetBlue,116,ERJ-190,100,,Bombardier Regional Jet 550,50,https://www.united.com/ual/en/us/fly/travel/inflight/aircraft/CRJ-550.html
JFK,36081,SYR,36067,jetBlue,2516,ERJ-190,100,,A320,150,https://www.united.com/ual/en/us/fly/travel/inflight/aircraft/airbus-320.html
JFK,36081,SYR,36067,Delta,4821,CRJ-900,76,,,,
JFK,36081,SYR,36067,Delta,5169,Canadair Reg. Jet,50,,,,
JFK,36081,SYR,36067,Delta,4823,CRJ-900,76,,,,
JFK,36081,ACK,25019,Cape Air,101,Cessna (Light),9,,,,
JFK,36081,BOS,25025,jetBlue,118,ERJ-190,100,,,,
JFK,36081,BOS,25025,American,3394,ERJ-140,44,,,,
JFK,36081,BOS,25025,jetBlue,1518,ERJ-190,100,,,,
JFK,36081,BOS,25025,jetBlue,718,ERJ-190,100,,,,
JFK,36081,BOS,25025,jetBlue,1318,ERJ-190,100,,,,
JFK,36081,BOS,25025,jetBlue,518,ERJ-190,100,,,,
JFK,36081,BOS,25025,Delta,2092,Boeing 717,110,,,,
JFK,36081,BOS,25025,American,3407,ERJ-140,44,,,,
JFK,36081,BOS,25025,Delta,5428,CRJ-900,76,,,,
JFK,36081,BOS,25025,American,2390,A321,181,,,,
JFK,36081,BOS,25025,Delta,3053,Boeing 717,110,,,,
JFK,36081,BOS,25025,Delta,5312,CRJ-900,76,,,,
JFK,36081,BOS,25025,American,3392,ERJ-140,44,,,,
JFK,36081,BOS,25025,Delta,2563,A319,128,,,,
JFK,36081,BOS,25025,Delta,4851,CRJ-900,76,,,,
JFK,36081,BOS,25025,American,3389,ERJ-140,44,,,,
JFK,36081,BOS,25025,jetBlue,1418,ERJ-190,100,,,,
JFK,36081,BOS,25025,Delta,5271,CRJ-900,76,,,,
JFK,36081,BOS,25025,American,1604,Boeing 737,172,,,,
JFK,36081,BOS,25025,Delta,2530,Boeing 717,110,,,,
JFK,36081,ORH,25027,jetBlue,676,ERJ-190,100,,,,
LGA,36081,BUF,36029,Delta,5232,CRJ-900,76,,,,
LGA,36081,BUF,36029,Delta,5167,CRJ-900,76,,,,
LGA,36081,BUF,36029,Delta,4980,CRJ-900,76,,,,
LGA,36081,BUF,36029,Delta,5050,CRJ-900,76,,,,
LGA,36081,ROC,36055,Delta,5132,CRJ-900,76,,,,
LGA,36081,ROC,36055,Delta,4874,CRJ-900,76,,,,
LGA,36081,ROC,36055,Delta,5291,CRJ-900,76,,,,
LGA,36081,ROC,36055,Delta,4822,Canadair Reg. Jet,50,,,,
LGA,36081,SYR,36067,Delta,5051,Canadair Reg. Jet,50,,,,
LGA,36081,SYR,36067,Delta,5630,ERJ-170,69,,,,
LGA,36081,SYR,36067,Delta,5670,ERJ-170,69,,,,
LGA,36081,BOS,25025,American,2126,A319,128,,,,
LGA,36081,BOS,25025,Delta,5962,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2152,A319,128,,,,
LGA,36081,BOS,25025,Delta,2837,Boeing 717,110,,,,
LGA,36081,BOS,25025,Delta,5662,ERJ-175,76,,,,
LGA,36081,BOS,25025,Delta,5648,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2163,A319,128,,,,
LGA,36081,BOS,25025,Delta,5791,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2121,A319,128,,,,
LGA,36081,BOS,25025,Delta,5993,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2136,A319,128,,,,
LGA,36081,BOS,25025,Delta,5645,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2162,A319,128,,,,
LGA,36081,BOS,25025,Delta,5808,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2161,A319,128,,,,
LGA,36081,BOS,25025,Delta,5795,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2131,A319,128,,,,
LGA,36081,BOS,25025,Delta,5942,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2146,A319,128,,,,
LGA,36081,BOS,25025,Delta,5651,ERJ-170,69,,,,
LGA,36081,BOS,25025,American,2172,A319,128,,,,
LGA,36081,BOS,25025,Delta,5803,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2128,A319,128,,,,
LGA,36081,BOS,25025,American,2141,A319,128,,,,
LGA,36081,BOS,25025,American,2151,A319,128,,,,
LGA,36081,BOS,25025,Delta,5650,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2122,A319,128,,,,
LGA,36081,BOS,25025,Delta,5641,ERJ-175,76,,,,
LGA,36081,BOS,25025,American,2147,A319,128,,,,
LGA,36081,BOS,25025,Delta,2679,Boeing 717,110,,,,
LGA,36081,BOS,25025,Delta,5894,ERJ-175,76,,,,
LGA,36081,BOS,25025,Delta,5961,ERJ-175,76,,,,
LGA,36081,BOS,25025,jetBlue,1432,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,2432,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,632,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,732,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,832,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,2332,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,2032,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,1232,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,1732,ERJ-190,100,,,,
LGA,36081,BOS,25025,jetBlue,1332,ERJ-190,100,,,,
ROC,36055,JFK,36081,jetBlue,185,ERJ-190,100,,,,
ROC,36055,JFK,36081,jetBlue,485,ERJ-190,100,,,,
ROC,36055,JFK,36081,jetBlue,685,ERJ-190,100,,,,
ROC,36055,JFK,36081,Delta,4840,CRJ-900,76,,,,
ROC,36055,JFK,36081,Delta,4772,CRJ-900,76,,,,
ROC,36055,JFK,36081,Delta,5275,CRJ-900,76,,,,
ROC,36055,LGA,36081,Delta,4750,CRJ-900,76,,,,
ROC,36055,LGA,36081,Delta,5132,CRJ-900,76,,,,
ROC,36055,LGA,36081,Delta,4874,CRJ-900,76,,,,
ROC,36055,LGA,36081,Delta,4822,Canadair Reg. Jet,50,,,,
ROC,36055,BOS,25025,jetBlue,712,ERJ-190,100,,,,
ROC,36055,BOS,25025,American,3401,ERJ-140,44,,,,
ROC,36055,BOS,25025,American,4096,ERJ-140,44,,,,
ROC,36055,BOS,25025,American,3661,ERJ-140,44,,,,
ROC,36055,EWR,34013,United,4226,ERJ-135/145,50,,,,
ROC,36055,EWR,34013,United,4966,ERJ-135/145,50,,,,
ROC,36055,EWR,34013,United,4948,ERJ-135/145,50,,,,
ROC,36055,EWR,34013,United,4324,ERJ-135/145,50,,,,
ROC,36055,EWR,34013,United,4208,ERJ-135/145,50,,,,
