"YEAR","CARRIER","CARRIER_NAME","MANUFACTURE_YEAR","UNIQUE_CARRIER_NAME","SERIAL_NUMBER","TAIL_NUMBER","AIRCRAFT_STATUS","OPERATING_STATUS","NUMBER_OF_SEATS","MANUFACTURER","MODEL","CAPACITY_IN_POUNDS","ACQUISITION_DATE","AIRLINE_ID","UNIQUE_CARRIER",
2019,"0WQ","Avjet Corporation",2007,"Avjet Corporation","240","N360AV","O","Y",7,"Gulfstream","G150",26100,2008-02-08,21352,"0WQ",
2019,"0WQ","Avjet Corporation",1997,"Avjet Corporation","258347","N946WT","O","Y",10,"Raytheon","Hawker800XP",28000,2002-12-27,21352,"0WQ",
2019,"0WQ","Avjet Corporation",1998,"Avjet Corporation","1342","N808T","b","Y",14,"Gulfstream","GIVSP",74600,1999-03-07,21352,"0WQ",
2019,"0WQ","Avjet Corporation",1993,"Avjet Corporation","1214","N477JB","b","Y",14,"Gulfstream","GIVSP",74600,2005-03-17,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2002,"Avjet Corporation","32807","N8767","b","Y",16,"Boeing","BBJ7377EG",171000,2008-07-18,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2006,"Avjet Corporation","5128","N1759C","b","Y",14,"Gulfstream","G550",91000,2009-06-19,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2016,"Avjet Corporation","4348","N222NB","b","Y",10,"Gulfstream","G450",74600,2016-07-01,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2006,"Avjet Corporation","9184","N702DR","b","Y",13,"Bombardier","GlobalExpress",96000,2012-01-02,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2014,"Avjet Corporation","6064","N311CG","b","Y",14,"Gulfstream","G650",99600,2014-03-05,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2013,"Avjet Corporation","6063","N886CS","b","Y",13,"Gulfstream","G650",99600,2014-02-10,21352,"0WQ",
2019,"0WQ","Avjet Corporation",1997,"Avjet Corporation","527","N25CP","b","Y",13,"Gulfstream","GV",90500,2014-07-29,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2006,"Avjet Corporation","5107","N335LL","b","Y",10,"Gulfstream","G550",91000,2015-04-28,21352,"0WQ",
2019,"0WQ","Avjet Corporation",1995,"Avjet Corporation","1265","N370RS","b","Y",12,"Gulfstream","GIVSP",74600,2015-08-13,21352,"0WQ",
2019,"0WQ","Avjet Corporation",1999,"Avjet Corporation","579","N866AB","b","Y",13,"Gulfstream","GV",90500,2016-01-20,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2007,"Avjet Corporation","9240","N999YX","b","Y",13,"Bombardier","GlobalExpress",99500,2017-11-06,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2014,"Avjet Corporation","20444","N278PC","O","Y",9,"Bombardier","Challenger300",816,2019-05-01,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2006,"Avjet Corporation","20108","N396BC","O","Y",9,"Bombardier","Challenger300",816,2019-06-01,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2012,"Avjet Corporation","560-6108","N275MB","O","Y",9,"Cessna","CE-560-560XLS",816,2019-07-01,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2000,"Avjet Corporation","1419","N353VA","b","Y",14,"Gulfstream","GA-IV-IV",74600,2019-08-01,21352,"0WQ",
2019,"0WQ","Avjet Corporation",2001,"Avjet Corporation","650","N61318","b","Y",13,"Gulfstream","GA-V-V",90500,2019-10-01,21352,"0WQ",
2019,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",1985,"Eastern Airlines f/k/a Dynamic Airways, LLC","23306","N602KW","O","Y",218,"Boeing","B-767-238PSGR",351000,2018-03-31,21492,"1BQ",
2019,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",1985,"Eastern Airlines f/k/a Dynamic Airways, LLC","23213","N603KW","O","Y",218,"Boeing","B-767-246PSGR",320000,2018-03-31,21492,"1BQ",
